"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"270",11,"Joshua Karty",LAR,"135","0","0","0","0","0","0","0","0"
"271",11,"Matt Gay",WAS,"139","0","0","0","0","0","0","0","0"
"272",11,"Kayshon Boutte",NE,"100.4","0","0","43","589","3","0","0","0"
"273",11,"Malik Washington",MIA,"41.8","0","0","26","223","0","5","25","1"
"274",11,"Khalil Herbert",IND,"26.5","0","0","10","25","0","36","130","1"
"275",11,"Jordan James",SF,"0","0","0","0","0","0","0","0","0"
"276",11,"Noah Gray",KC,"93.3","0","0","40","437","5","1","-4","0"
"277",11,"Cleveland Browns",CLE,"81","0","0","0","0","0","0","0","0"
"278",11,"Joe Flacco",CLE,"106","1761","12","0","0","0","9","26","0"
"279",11,"Tre Tucker",LV,"105.8","0","0","47","539","3","9","44","1"
"280",11,"Isaiah Davis",NYJ,"41.4","0","0","9","75","1","30","174","1"
"281",11,"Sincere McCormick",LV,"24.2","0","0","6","29","0","39","183","0"
"282",11,"Amari Cooper",FA,"100.7","0","0","44","547","4","0","0","0"
"283",11,"Dameon Pierce",HOU,"42.5","0","0","2","2","0","40","293","2"
"284",11,"Tyrod Taylor",NYJ,"20.1","119","3","0","0","0","3","13","0"
"285",11,"Tyler Shough",NO,"0","0","0","0","0","0","0","0","0"
"286",11,"Harold Fannin Jr.",CLE,"0","0","0","0","0","0","0","0","0"
"287",11,"Theo Johnson",NYG,"53.6","0","0","29","331","1","0","0","0"
"288",11,"Kimani Vidal",LAC,"30.2","0","0","5","62","1","43","155","0"
"289",11,"Taysom Hill",NO,"91.8","0","0","23","187","0","39","278","6"
"290",11,"Alexander Mattison",MIA,"119.4","0","0","36","294","1","132","420","4"
"291",11,"Tim Patrick",DET,"75.9","0","0","33","394","3","0","0","0"
"292",11,"Chicago Bears",CHI,"121","0","0","0","0","0","0","0","0"
"293",11,"Parker Washington",JAC,"81","0","0","32","390","3","0","0","0"
"294",11,"Jacory Croskey-Merritt",WAS,"0","0","0","0","0","0","0","0","0"
"295",11,"Jaxson Dart",NYG,"0","0","0","0","0","0","0","0","0"
"296",11,"Jalen Nailor",MIN,"89","0","0","28","414","6","3","-4","0"
"297",11,"Darren Waller",MIA,"0","0","0","0","0","0","0","0","0"
"298",11,"Terrance Ferguson",LAR,"0","0","0","0","0","0","0","0","0"
"299",12,"Tory Horton",SEA,"0","0","0","0","0","0","0","0","0"
"300",12,"Noah Fant",CIN,"80","0","0","48","500","1","0","0","0"
"301",12,"Luke McCaffrey",WAS,"25.8","0","0","18","168","0","0","0","0"
"302",12,"Christian Watson",GB,"90.8","0","0","29","620","2","4","23","0"
"303",12,"Daniel Carlson",LV,"145","0","0","0","0","0","0","0","0"
"304",12,"Xavier Restrepo",TEN,"0","0","0","0","0","0","0","0","0"
"305",12,"Damien Martinez",SEA,"0","0","0","0","0","0","0","0","0"
"306",12,"Ty Chandler",MIN,"25.4","0","0","6","42","0","56","182","0"
"307",12,"Chris Brooks",GB,"36.7","0","0","11","69","0","36","183","1"
"308",12,"Emanuel Wilson",GB,"90.5","0","0","11","48","1","103","502","4"
"309",12,"Zack Moss",FA,"70.4","0","0","23","187","1","74","242","2"
"310",12,"Isaac TeSlaa",DET,"0","0","0","0","0","0","0","0","0"
"311",12,"Oronde Gadsden II",LAC,"0","0","0","0","0","0","0","0","0"
"312",12,"Chris Rodriguez Jr.",WAS,"31","0","0","1","12","0","35","173","2"
"313",12,"Phil Mafah",DAL,"0","0","0","0","0","0","0","0","0"
"314",12,"Jermaine Burton",CIN,"12.7","0","0","4","107","0","0","0","0"
"315",12,"Dont'e Thornton Jr.",LV,"0","0","0","0","0","0","0","0","0"
"316",12,"Ben Sinnott",WAS,"11.3","0","0","5","28","1","0","0","0"
"317",12,"Shedeur Sanders",CLE,"0","0","0","0","0","0","0","0","0"
"318",12,"Raheim Sanders",LAC,"0","0","0","0","0","0","0","0","0"
"319",12,"Tez Johnson",TB,"0","0","0","0","0","0","0","0","0"
"320",12,"Will Reichard",MIN,"131","0","0","0","0","0","0","0","0"
"321",12,"Zamir White",LV,"26.3","0","0","6","30","0","65","183","1"
"322",12,"Gabe Davis",FA,"43.9","0","0","20","239","2","0","0","0"
"323",12,"New England Patriots",NE,"63","0","0","0","0","0","0","0","0"
"324",12,"Tyler Higbee",LAR,"22.6","0","0","8","66","2","0","0","0"
"325",12,"Jason Myers",SEA,"140","0","0","0","0","0","0","0","0"
"326",12,"Will Dissly",LAC,"85.1","0","0","50","481","2","0","0","0"
"327",12,"Miami Dolphins",MIA,"84","0","0","0","0","0","0","0","0"
"328",12,"Arizona Cardinals",ARI,"101","0","0","0","0","0","0","0","0"
"329",12,"Tutu Atwell",LAR,"77.9","0","0","42","562","0","2","7","0"
"330",12,"Tyler Loop",BAL,"0","0","0","0","0","0","0","0","0"
"331",12,"Tyler Conklin",LAC,"96.4","0","0","51","449","4","1","0","0"
"332",12,"A.J. Dillon",PHI,"0","0","0","0","0","0","0","0","0"
"333",12,"Ray-Ray McCloud III",ATL,"109.5","0","0","62","686","1","10","79","0"
"334",12,"Gus Edwards",FA,"62.6","0","0","3","6","0","101","365","4"
"335",12,"Cam Akers",NO,"86.2","0","0","14","68","3","104","444","2"
"336",12,"Jordan Whittington",LAR,"41.5","0","0","22","293","0","2","12","0"
"337",12,"Jalen Milroe",SEA,"0","0","0","0","0","0","0","0","0"
"338",12,"Tai Felton",MIN,"0","0","0","0","0","0","0","0","0"
"339",12,"Samaje Perine",CIN,"67.4","0","0","28","322","1","20","92","1"
"340",12,"Marquez Valdes-Scantling",SEA,"75","0","0","19","411","4","1","4","0"
"341",12,"Dawson Knox",BUF,"48.1","0","0","22","311","1","0","0","0"
"342",12,"Justin Tucker",FA,"143","0","0","0","0","0","0","0","0"
"343",12,"Noah Brown",WAS,"68.8","0","0","35","453","1","0","0","0"
"344",12,"Demarcus Robinson",SF,"108","0","0","31","505","7","0","0","0"
"345",12,"John Metchie III",HOU,"43.4","0","0","24","254","1","0","0","0"
"346",12,"KaVontae Turpin",DAL,"88.7","0","0","31","420","2","16","92","0"
"347",12,"Spencer Rattler",NO,"72.3","1317","4","0","0","0","18","146","0"
"348",13,"Michael Mayer",LV,"26.1","0","0","21","156","0","0","0","0"
"349",13,"Troy Franklin",DEN,"53.1","0","0","28","263","2","2","8","0"
"350",13,"Luke Musgrave",GB,"8","0","0","7","45","0","0","0","0"
"351",13,"Savion Williams",GB,"0","0","0","0","0","0","0","0","0"
"352",13,"AJ Barner",SEA,"63.5","0","0","30","245","4","0","0","0"
"353",13,"Josh Reynolds",NYJ,"31.9","0","0","13","194","1","0","0","0"
"354",13,"Kirk Cousins",ATL,"192.3","3508","18","0","0","0","23","0","0"
"355",13,"Austin Hooper",NE,"86.1","0","0","45","476","3","0","0","0"
"356",13,"Mack Hollins",NE,"83.3","0","0","31","378","5","0","0","0"
"357",13,"Jameis Winston",NYG,"143.1","2121","13","0","0","0","25","83","1"
"358",13,"New York Giants",NYG,"91","0","0","0","0","0","0","0","0"
"359",13,"Chimere Dike",TEN,"0","0","0","0","0","0","0","0","0"
"360",13,"Curtis Samuel",BUF,"48.2","0","0","31","253","1","5","14","0"
"361",13,"Donovan Edwards",NYJ,"0","0","0","0","0","0","0","0","0"
"362",13,"Jaylin Lane",WAS,"0","0","0","0","0","0","0","0","0"
"363",13,"Gunnar Helm",TEN,"0","0","0","0","0","0","0","0","0"
"364",13,"LeQuint Allen Jr.",JAC,"0","0","0","0","0","0","0","0","0"
"365",13,"Jake Moody",SF,"118","0","0","0","0","0","0","0","0"
"366",13,"Luke Schoonmaker",DAL,"43.6","0","0","27","241","1","0","0","0"
"367",13,"Greg Dortch",ARI,"71.8","0","0","37","342","3","5","31","0"
"368",13,"Jacob Cowing",SF,"8.7","0","0","4","80","0","1","7","0"
"369",13,"Washington Commanders",WAS,"90","0","0","0","0","0","0","0","0"
"370",13,"Brandon McManus",GB,"99","0","0","0","0","0","0","0","0"
"371",13,"Kenny Pickett",CLE,"26.1","291","2","0","0","0","9","15","1"
"372",13,"Dillon Gabriel",CLE,"0","0","0","0","0","0","0","0","0"
"373",13,"Isaiah Bond",FA,"0","0","0","0","0","0","0","0","0"
"374",13,"Tommy Tremble",CAR,"44.9","0","0","23","234","2","0","0","0"
"375",13,"KeAndre Lambert-Smith",LAC,"0","0","0","0","0","0","0","0","0"
"376",13,"Foster Moreau",NO,"87.3","0","0","32","413","5","0","0","0"
"377",13,"Tank Dell",HOU,"114.5","0","0","51","667","3","9","43","0"
"378",13,"Allen Lazard",NYJ,"107.5","0","0","37","530","6","0","0","0"
"379",13,"Eddy Pineiro",FA,"107","0","0","0","0","0","0","0","0"
"380",13,"Emari Demercado",ARI,"46.7","0","0","16","104","0","24","223","1"
"381",13,"Jahan Dotson",PHI,"32.4","0","0","19","216","0","1","13","0"
"382",13,"Matt Prater",FA,"33","0","0","0","0","0","0","0","0"
"383",13,"Cam Little",JAC,"126","0","0","0","0","0","0","0","0"
"384",13,"Robert Woods",PIT,"28.3","0","0","20","203","0","0","0","0"
"385",13,"Jalin Hyatt",NYG,"10.2","0","0","8","62","0","0","0","0"
"386",13,"Olamide Zaccheaus",CHI,"89.9","0","0","45","506","3","1","8","0"
"387",13,"Van Jefferson",TEN,"51.6","0","0","24","276","2","0","0","0"
"388",13,"Cade Stover",HOU,"26.8","0","0","15","133","1","0","0","0"
"389",13,"Grant Calcaterra",PHI,"47.8","0","0","24","298","1","0","0","0"
"390",13,"Ja'Lynn Polk",NE,"26.7","0","0","12","87","2","1","0","0"
"391",13,"Indianapolis Colts",IND,"91","0","0","0","0","0","0","0","0"
"392",13,"Kendrick Bourne",NE,"51.1","0","0","28","305","1","1","6","0"
"393",13,"Trey Sermon",PIT,"45.8","0","0","16","99","0","56","159","2"
"394",13,"Ameer Abdullah",SF,"105.2","0","0","40","261","3","66","311","2"
"395",13,"KhaDarel Hodge",ATL,"28.6","0","0","7","131","1","0","0","0"
"396",13,"Josh Oliver",MIN,"54.8","0","0","22","258","3","0","0","0"
"397",13,"Theo Wease Jr.",MIA,"0","0","0","0","0","0","0","0","0"
"398",13,"Jeremy Ruckert",NYJ,"19.5","0","0","18","105","0","0","0","0"
"399",13,"Kalel Mullings",TEN,"0","0","0","0","0","0","0","0","0"
"400",13,"Kyle Juszczyk",SF,"48.1","0","0","19","200","2","5","26","1"
"401",13,"Ja'Quinden Jackson",JAC,"0","0","0","0","0","0","0","0","0"
"402",13,"JuJu Smith-Schuster",KC,"44.1","0","0","18","231","2","0","0","0"
"403",13,"Zay Jones",ARI,"12.4","0","0","8","84","0","0","0","0"
"404",13,"Jonathan Mingo",DAL,"23.7","0","0","17","167","0","2","5","0"
"405",13,"Craig Reynolds",DET,"19.4","0","0","3","40","0","31","139","0"
"406",13,"Elijah Higgins",ARI,"39.2","0","0","20","172","2","0","0","0"
"407",13,"Antwane Wells Jr.",NYG,"0","0","0","0","0","0","0","0","0"
"408",13,"Aidan O'Connell",LV,"97.5","1612","8","0","0","0","21","30","1"
"409",13,"Mason Rudolph",PIT,"104.8","1530","9","0","0","0","25","106","1"
"410",13,"Atlanta Falcons",ATL,"97","0","0","0","0","0","0","0","0"
"411",13,"Malachi Corley",NYJ,"3.7","0","0","3","16","0","2","26","0"
"412",13,"Cincinnati Bengals",CIN,"104","0","0","0","0","0","0","0","0"
"413",13,"Stone Smartt",NYJ,"26.8","0","0","16","208","0","0","0","0"
"414",13,"Marcus Mariota",WAS,"45.8","364","4","0","0","0","18","92","1"
"415",14,"Joe Milton III",DAL,"19.2","241","1","0","0","0","10","16","1"
"416",14,"Hunter Renfrow",CAR,"0","0","0","0","0","0","0","0","0"
"417",14,"Jeremy McNichols",WAS,"59.3","0","0","9","27","0","55","261","4"
"418",14,"Greg Dulcich",NYG,"5.3","0","0","5","28","0","0","0","0"
"419",14,"Blake Grupe",NO,"131","0","0","0","0","0","0","0","0"
"420",14,"Mitchell Evans",CAR,"0","0","0","0","0","0","0","0","0"
"421",14,"Arian Smith",NYJ,"0","0","0","0","0","0","0","0","0"
"422",14,"Alec Ingold",MIA,"20.8","0","0","11","96","0","10","17","1"
"423",14,"D'Ernest Johnson",BAL,"29.9","0","0","12","96","0","32","143","0"
"424",14,"Las Vegas Raiders",LV,"71","0","0","0","0","0","0","0","0"
"425",14,"Jacksonville Jaguars",JAC,"71","0","0","0","0","0","0","0","0"
"426",14,"Tennessee Titans",TEN,"72","0","0","0","0","0","0","0","0"
"427",14,"Chad Ryland",ARI,"125","0","0","0","0","0","0","0","0"
"428",14,"Sam Howell",MIN,"0.2","24","0","0","0","0","1","2","0"
"429",14,"New Orleans Saints",NO,"98","0","0","0","0","0","0","0","0"
"430",14,"Carolina Panthers",CAR,"41","0","0","0","0","0","0","0","0"
"431",14,"Darnell Washington",PIT,"35.5","0","0","19","200","1","0","0","0"
"432",14,"Clyde Edwards-Helaire",NO,"8.5","0","0","3","24","0","13","46","0"
"433",14,"Kalif Raymond",DET,"48","0","0","17","215","2","2","0","0"
"434",14,"Cairo Santos",CHI,"109","0","0","0","0","0","0","0","0"
"435",14,"Derius Davis",LAC,"33.6","0","0","13","112","2","12","39","0"
"436",14,"Deshaun Watson",CLE,"79.7","1148","5","0","0","0","31","148","1"
"437",14,"Mac Jones",SF,"104.1","1672","8","0","0","0","28","92","1"
"438",14,"Marcus Yarns",NO,"0","0","0","0","0","0","0","0","0"
"439",14,"Tanner Hudson",CIN,"29","0","0","19","154","1","1","1","0"
"440",14,"Zach Wilson",MIA,"0","0","0","0","0","0","0","0","0"
"441",14,"Cooper Rush",BAL,"114.6","1844","12","0","0","0","26","18","0"
"442",14,"Malik Willis",GB,"51.8","550","3","0","0","0","20","138","1"
"443",14,"Patrick Taylor Jr.",SF,"28.3","0","0","3","25","0","39","183","1"
"444",14,"Jake Browning",CIN,"-0.2","0","0","0","0","0","2","-2","0"
"445",14,"Javon Baker",NE,"1.7","0","0","1","12","0","0","0","0"
"446",14,"Josh Whyle",TEN,"46.8","0","0","28","248","1","0","0","0"
"447",14,"Jonathon Brooks",CAR,"6","0","0","3","23","0","9","22","0"
"448",14,"Pierre Strong Jr.",CLE,"28.2","0","0","14","104","0","26","108","0"
"449",14,"Jake Bobo",SEA,"23.2","0","0","13","107","1","0","0","0"
"450",14,"Deuce Vaughn",DAL,"10.3","0","0","3","18","0","17","70","0"
"451",14,"Julian Hill",MIA,"16","0","0","12","100","0","0","0","0"
"452",14,"Devontez Walker",BAL,"8.6","0","0","1","21","1","0","0","0"
"453",14,"Cordarrelle Patterson",FA,"31.5","0","0","12","80","1","32","135","0"
"454",14,"Michael Gallup",WAS,"0","0","0","0","0","0","0","0","0"
"455",14,"Tyler Goodson",IND,"38.9","0","0","11","61","1","32","153","1"
"456",14,"Colby Parkinson",LAR,"50.4","0","0","30","294","1","0","0","0"
"457",14,"Rondale Moore",MIN,"0","0","0","0","0","0","0","0","0"
"458",14,"Jimmy Garoppolo",LAR,"20.9","334","2","0","0","0","2","5","0"
"459",14,"Jamari Thrash",CLE,"3.7","0","0","3","22","0","0","0","0"
"460",14,"Ronnie Rivers",LAR,"15.8","0","0","5","34","0","22","99","0"
"461",14,"Graham Gano",NYG,"50","0","0","0","0","0","0","0","0"
"462",14,"Jake Haener",NO,"14.2","226","1","0","0","0","11","22","0"
"463",14,"Johnny Mundt",JAC,"35.7","0","0","19","142","2","0","0","0"
"464",14,"Michael Carter",ARI,"30.3","0","0","11","57","0","35","131","1"
"465",14,"Adam Trautman",DEN,"37.3","0","0","13","188","2","0","0","0"
"466",14,"Jimmy Horn Jr.",CAR,"0","0","0","0","0","0","0","0","0"
"467",14,"Will Howard",PIT,"0","0","0","0","0","0","0","0","0"
"468",14,"Joshua Dobbs",NE,"32.8","361","2","0","0","0","9","24","2"
"469",14,"John Bates",WAS,"10.4","0","0","8","84","0","0","0","0"
"470",14,"David Bell",CLE,"4.2","0","0","3","27","0","0","0","0"
"471",14,"Jordan Watkins",SF,"0","0","0","0","0","0","0","0","0"
"472",14,"Gardner Minshew II",KC,"106.3","2013","9","0","0","0","19","58","0"
"473",14,"Kylen Granson",PHI,"25.2","0","0","14","182","0","0","0","0"
"474",14,"Chris Tyree",NO,"0","0","0","0","0","0","0","0","0"
"475",14,"K.J. Osborn",WAS,"15.2","0","0","7","57","1","0","0","0"
"476",14,"Brevin Jordan",HOU,"1.7","0","0","2","7","0","0","0","0"
"477",14,"Thomas Fidone II",NYG,"0","0","0","0","0","0","0","0","0"
"478",14,"Luke Lachey",HOU,"0","0","0","0","0","0","0","0","0"
"479",14,"Tyler Badie",DEN,"7.9","0","0","3","-2","0","11","86","0"
"480",14,"Hunter Long",JAC,"9.5","0","0","7","60","0","0","0","0"
"481",14,"Dare Ogunbowale",HOU,"46.5","0","0","19","198","1","30","112","0"
"482",14,"Payne Durham",TB,"29","0","0","11","115","2","0","0","0"
"483",14,"Treylon Burks",TEN,"5.5","0","0","4","34","0","2","1","0"
"484",14,"Ezekiel Elliott",FA,"51.5","0","0","12","69","0","74","226","3"
"485",14,"Drew Sample",CIN,"26.5","0","0","20","109","1","1","-4","0"
"486",14,"Brevyn Spann-Ford",DAL,"13.3","0","0","9","88","0","0","0","0"
"487",14,"Taylor Heinicke",LAC,"3.1","28","0","0","0","0","2","20","0"
"488",14,"Andy Dalton",CAR,"65","989","7","0","0","0","11","34","0"
"489",14,"Hendon Hooker",DET,"2.7","62","0","0","0","0","5","2","0"
"490",14,"Kyle Trask",TB,"-0.2","5","0","0","0","0","5","-4","0"
"491",14,"Carson Steele",KC,"20.4","0","0","7","26","0","56","183","0"
"492",14,"Nick Mullens",JAC,"1.3","38","0","0","0","0","3","-2","0"
"493",14,"Tyler Johnson",NYJ,"48.1","0","0","26","291","1","0","0","0"
"494",14,"Jacoby Brissett",ARI,"46.2","826","2","0","0","0","15","62","0"
"495",14,"Kaden Prather",BUF,"0","0","0","0","0","0","0","0","0"
"496",14,"Hunter Luepke",DAL,"20.9","0","0","12","111","0","12","38","0"
"497",14,"Harrison Bryant",PHI,"13.1","0","0","9","86","0","0","0","0"
"498",15,"C.J. Ham",MIN,"11","0","0","5","35","0","2","10","1"
"499",15,"Mitchell Trubisky",BUF,"15.3","179","2","0","0","0","17","1","0"
"500",15,"David Moore",CAR,"69.1","0","0","32","351","3","1","0","0"
"501",15,"Cedrick Wilson Jr.",NO,"39.9","0","0","20","211","1","0","0","0"
"502",15,"Bub Means",NO,"22.3","0","0","9","118","1","0","0","0"
"503",15,"Efton Chism III",NE,"0","0","0","0","0","0","0","0","0"
"504",15,"Julius Chestnut",TEN,"12.3","0","0","2","11","0","22","102","0"
"505",15,"Julian Fleming",FA,"0","0","0","0","0","0","0","0","0"
"506",15,"Hassan Haskins",LAC,"31.3","0","0","3","49","1","34","89","2"
"507",15,"Brock Wright",DET,"28.5","0","0","13","100","2","0","0","0"
"508",15,"DeeJay Dallas",ARI,"19.5","0","0","3","11","1","9","49","0"
"509",15,"DeAndre Carter",CLE,"9.7","0","0","9","72","0","0","0","0"
"510",15,"Rasheen Ali",BAL,"3.1","0","0","0","0","0","10","31","0"
"511",15,"Jawhar Jordan",HOU,"0","0","0","0","0","0","0","0","0"
"512",15,"Charlie Woerner",ATL,"8.1","0","0","7","46","0","0","0","0"
"513",15,"Daniel Bellinger",NYG,"19.5","0","0","14","125","0","0","0","0"
"514",15,"Ricky White III",SEA,"0","0","0","0","0","0","0","0","0"
"515",15,"Sione Vaki",DET,"6.6","0","0","3","37","0","6","14","0"
"516",15,"DJ Chark Jr.",ATL,"11.1","0","0","4","31","1","0","0","0"
"517",15,"Ian Thomas",LV,"2.2","0","0","3","7","0","0","0","0"
"518",15,"Durham Smythe",CHI,"9.8","0","0","9","53","0","0","0","0"
"519",15,"Jared Wiley",KC,"1.2","0","0","1","7","0","0","0","0"
"520",15,"Michael Burton",DEN,"24.3","0","0","10","65","1","7","8","1"
"521",15,"Jelani Woods",IND,"0","0","0","0","0","0","0","0","0"
"522",15,"Dylan Laube",LV,"-2","0","0","0","0","0","1","0","0"
"523",15,"Johnny Wilson",PHI,"12.3","0","0","5","38","1","0","0","0"
"524",15,"Mecole Hardman Jr.",GB,"27.2","0","0","12","90","0","5","62","1"
"525",15,"Eric Gray",NYG,"12.3","0","0","10","82","0","14","31","0"
"526",15,"Eric Saubert",SEA,"21.2","0","0","11","97","1","0","0","0"
"527",15,"Luke Farrell",SF,"12.7","0","0","12","67","0","0","0","0"
"528",15,"Israel Abanikanda",GB,"0","0","0","0","0","0","0","0","0"
"529",15,"Travis Homer",CHI,"4.9","0","0","3","11","0","6","23","0"
"530",15,"Nick Nash",ATL,"0","0","0","0","0","0","0","0","0"
"531",15,"Michael Woods II",FA,"10","0","0","7","65","0","0","0","0"
"532",15,"Teagan Quitoriano",ATL,"0","0","0","0","0","0","0","0","0"
"533",15,"Pharaoh Brown",MIA,"8.5","0","0","8","65","0","0","0","0"
"534",15,"Ainias Smith",PHI,"14.2","0","0","7","41","1","2","6","0"
"535",15,"Patrick Ricard",BAL,"15.7","0","0","3","22","1","0","0","0"
"536",16,"Simi Fehoko",ARI,"13.6","0","0","6","106","0","0","0","0"
"537",16,"Trent Sherfield Sr.",DEN,"18.3","0","0","8","83","1","0","0","0"
"538",16,"Tylan Wallace",BAL,"30.8","0","0","11","193","1","0","0","0"
"539",16,"Tim Jones",MIN,"5.6","0","0","3","41","0","0","0","0"
"540",16,"Tyson Bagent",CHI,"-0.3","11","0","0","0","0","6","-7","0"
"541",16,"Bo Melton",GB,"18.5","0","0","8","91","0","8","54","0"
"542",16,"Carlos Washington Jr.",ATL,"0","0","0","0","0","0","0","0","0"
"543",16,"Troy Hairston II",FA,"0","0","0","0","0","0","0","0","0"
"544",16,"Velus Jones Jr.",NO,"0.4","0","0","1","8","0","3","11","0"
"545",16,"Frank Gore Jr.",BUF,"0","0","0","0","0","0","0","0","0"
"546",16,"Jakob Johnson",HOU,"0","0","0","0","0","0","0","0","0"