"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","0-19","20-29","30-39","40-49","50+","XPM","XPA"
"1",1,"Brandon Aubrey",DAL,"192","0","4","8","14","14","30","30"
"2",1,"Jake Bates",DET,"161","0","3","10","7","6","64","67"
"3",1,"Cameron Dicker",LAC,"179","1","9","9","11","9","33","36"
"4",2,"Wil Lutz",DEN,"160","0","2","13","11","5","46","46"
"5",2,"Chase McLaughlin",TB,"164","0","11","7","4","8","54","56"
"6",2,"Harrison Butker",KC,"100","1","7","7","4","2","29","31"
"7",2,"Ka'imi Fairbairn",HOU,"172","0","8","11","4","13","34","36"
"8",2,"Chris Boswell",PIT,"191","0","9","12","7","13","35","35"
"9",2,"Tyler Bass",BUF,"146","0","6","7","7","4","59","64"
"10",2,"Evan McPherson",CIN,"94","0","6","4","3","3","37","38"
"11",3,"Jake Elliott",PHI,"141","0","9","10","8","1","47","48"
"12",3,"Matt Gay",WAS,"139","0","9","12","7","3","33","33"
"13",3,"Jason Sanders",MIA,"166","0","7","13","5","12","26","28"
"14",3,"Younghoe Koo",ATL,"120","0","7","5","7","6","26","26"
"15",3,"Joshua Karty",LAR,"135","0","10","9","4","6","32","36"
"16",3,"Tyler Loop",BAL,"0","0","0","0","0","0","0","0"
"17",4,"Will Reichard",MIN,"131","0","5","6","5","8","38","38"
"18",4,"Daniel Carlson",LV,"145","0","10","11","6","7","23","25"
"19",4,"Brandon McManus",GB,"99","0","5","9","3","3","30","30"
"20",4,"Jason Myers",SEA,"140","0","4","6","7","9","37","40"
"21",4,"Jake Moody",SF,"118","0","9","5","6","4","32","33"
"22",4,"Cam Little",JAC,"126","0","8","6","8","5","27","27"
"23",4,"Cairo Santos",CHI,"109","0","4","4","5","8","25","26"
"24",4,"Blake Grupe",NO,"131","0","4","10","7","6","31","33"
"25",4,"Graham Gano",NYG,"50","0","2","1","4","2","15","15"
"26",5,"Chad Ryland",ARI,"125","0","6","11","7","4","26","27"
"27",5,"Andy Borregales",NE,"0","0","0","0","0","0","0","0"
"28",5,"Spencer Shrader",IND,"26","0","2","1","2","0","9","9"
"29",5,"Joey Slye",TEN,"120","0","5","10","5","6","25","26"
"30",5,"Dustin Hopkins",CLE,"84","0","3","6","5","4","17","20"
"31",5,"Matthew Wright",CAR,"56","0","3","8","3","1","6","6"
"32",5,"Nick Folk",NYJ,"108","0","5","2","8","6","25","25"
"33",6,"Eddy Pineiro",FA,"107","0","7","8","6","1","33","35"
"34",6,"Justin Tucker",FA,"143","0","4","7","5","6","60","62"
"35",6,"Matt Prater",FA,"33","0","1","1","3","1","10","10"
"36",6,"Harrison Mevis",NYJ,"0","0","0","0","0","0","0","0"
"37",6,"Greg Zuerlein",FA,"41","0","4","4","1","0","13","14"
"38",6,"Ryan Fitzgerald",CAR,"0","0","0","0","0","0","0","0"
"39",6,"Parker Romo",NE,"46","0","3","3","4","1","7","8"
"40",6,"Caden Davis",FA,"0","0","0","0","0","0","0","0"
"41",6,"Anders Carlson",FA,"62","0","3","2","5","3","12","15"
"42",6,"Greg Joseph",FA,"66","0","5","5","5","1","11","11"
"43",7,"Alex Hale",FA,"0","0","0","0","0","0","0","0"
"44",7,"Ben Sauls",PIT,"0","0","0","0","0","0","0","0"
"45",7,"Jude McAtamney",NYG,"4","0","0","1","0","0","1","1"